site,count
001C4B0008A5,11
001C4B001069,2
0022F2000C2D,4
0022F200152D,3
0022F2002DCE,4
0022F2002E82,1
0022F2005446,6
0022F2005C54,11
0022F2006723,3
0022F200F291,2
0022F20139BC,2
0022F20139C6,4
0022F20186EC,1
TAAI01129193,1
TAAJ01021775,4
TAAL01116059,1
TABA01148025,1
TABA01148077,2
TABA01148163,1
TABB01125140,1
TABC01142170,3
TABC01142425,1
TABC01142903,3
TABD01110011,1
TABD01110568,1
TABE01001626,3
TABE01026346,3
TABF01017766,1
TABF01019463,1
TABF01112766,2
TABF01113033,1
TABF01113630,1
TABG01015320,1
TABG01055993,1
TABG01081601,1
TABGC1043585,1
TABGC1043841,1
TABGC1044151,1
TABGC1044406,1
TABJC1001537,1
TABJC1001611,1
TABJC1002203,1
TABJC1027159,3
TABJC1027266,2
TABJC1067646,3
TABJC1067952,1
TABLC1013575,4
TABLC1013976,1
TACFC1070726,2
TACGC1087514,3
TACHC1020254,1
TACHC1020295,1
TACHC1020772,2
TACHC1021312,1
TACHC1022158,3
TACHC1022171,2
TACHC1061451,2
TACHC1087696,1
TACHC1088059,2
TACIC1038743,2
TACIC1066981,1
TACIC1067142,2
TACLC1036521,1
TACLC1036595,2
TADAC1022952,2
TADAC1023097,4
TADAC1036837,2
TADAC1037040,1
TADBC1052581,1
TADBC1076464,1
TADBC1076739,1
TADBC1076792,1
TADBC1077777,1
TADBC1077880,1
TADBC1077912,1
TADBC1077995,4
TADBC1078041,1
TADBC1078055,1
TADBC1078163,2
TADBC1078234,6
TADBC1078277,1
TADBC1079787,31
TADCC1019626,1
TADCC1021403,1
TADCC1097002,1
TADCC1097337,1
TADCC1097422,1
TADHC1009872,1
TADHC1010126,1
TADHC1036224,2
TADHC1036570,1
TADKC1017489,2
TADKC1017785,1
TADKC1018154,1
TADKC1018267,1
TADKC1042851,1
TADKC1042879,1
TADKC1043032,2
TADKC1043718,2
TADKC1094987,1
TADKC1094999,3
TADKC1095266,1
TADKC1095500,1
TADKC1095539,3
TADKC1095559,2
TADKC1095581,1
TAEAC1006246,2
TAEAC1006600,1
TAEAC1007029,1
TAEAC1007248,1
TAEAC1007532,1
TAEAC1031314,2
TAEAC1032505,1
TAEAC1064320,2
TAEAC1064469,1
TAEAC1064621,1
TAECC1047947,1
TAEEC1003466,3
TAEEC1003744,1
TAEEC1017650,1
TAEEC1018184,2
TAEEC1018252,1
TAEEC1018254,1
TAEEC1018327,2
TAEEC1062294,1
TAEEC1062519,1
TAEEC1062727,3
TAEFC1044631,1
TAEFC1044741,2
TAEFC1045192,1
TAEGC1011644,2
TAEHC1001689,1
TAEHC1001825,2
TAEHC1024757,2
TAEHC1024835,1
TAEHC1041562,1
TAEHC1041664,2
TAEHC1041811,1
TAEHC1041930,1
TAEHC1042088,1
TAEIC1007158,3
TAEIC1066063,1
TAEIC1066617,2
TAEIC1067083,1
TAEIC1067490,2
TAEIC1067492,1
TAEJC1014464,1
TAEJC1014576,1
TAEJC1014768,17
TAEJC1014877,1
TAEJC1015097,1
TAEJC1015256,1
TAEJC1015722,1
TAEJC1015791,1
TAEKC1077772,2
TAEKC1078620,1
TAELC1030379,1
TAELC1030808,2
TAELC1030985,2
TAELC1031424,2
TAELC1031675,1
TAELC1032120,2
TAFAC1001794,1
ZT155085000441C0412,20
ZT155085000441C0427,2
ZT155185000441C0017,1
ZT155185000441C0083,40
ZT155185000441C0220,1
ZT155285000441C0186,1
ZT160385000441C0394,42
ZT160385000441C0824,24
ZT160385000441C0973,34
ZT160485000441C0518,24
ZT160485000441C0531,1
ZT160685000441C0585,30
ZT160685000441C0836,52
ZT160885000441C0252,38
ZT160885000441C0258,16
ZT161185000441C0940,23
ZT161485000441C0885,1
ZT161585000441C0093,22
ZT161585000441C0490,1
ZT161585000441C0775,1
ZT161585000441C1031,44
ZT161685000441C0119,1
ZT161685000441C0141,40
ZT161685000441C0446,30
ZT161685000441C0855,24
ZT161685000441C0867,1
ZT161885000441C0329,56
ZT161885000441C0704,13
ZT161885000441C0742,21
ZT162085000441C0903,6
ZT162085000441C0944,26
ZT162085000441C1252,30
ZT162185000441C0309,1
ZT162185000441C0377,52
ZT162185000441C1087,1
ZT162185000441C1092,2
ZT162185000441C1102,2
ZT162185000441C1106,1
ZT162185000441C1203,38
ZT162285000441C0391,2
ZT162585000441C1154,23
ZT162585000441C1370,6
ZT162585000441C1533,50
ZT162885000441C0036,32
ZT162885000441C0526,6
ZT162885000441C0559,12
ZT162985000441C0804,6
ZT162985000441C1300,6
ZT163085000441C0594,1
ZT163185000441C0516,46
ZT163185000441C2053,18
ZT163185000441C2056,92
ZT163285000441C0638,60
ZT163285000441C0735,32
ZT163285000441C0792,16
ZT163285000441C1124,68
ZT163285000441C1183,1
ZT163285000441C1319,1
ZT163385000441C0208,20
ZT163485000441C0414,1
ZT163485000441C0937,36
ZT163485000441C1369,36
ZT164285000441C0743,20
ZT164285000441C0745,9
ZT164285000441C0753,21
ZT170285000441C0852,6
ZT170285000441C0858,6
ZT170385000441C0521,52
ZT170385000441C0905,1
ZT170585000441C0276,31
ZT171585000441C0412,1
ZT171585000441C0612,22
ZT171685000441C1074,22
ZT171685000441C1081,54
ZT172785000441C1366,18
ZT173185000441C0285,14
ZT173285000441C0544,31